sim_ind	M1	M2	M3	a_o	r_p_o	e_o	inc_o	Omega_o	omega_o	e_i	inc_i	Omega_i	omega_i	f_i	final_time	outer_orbits	outer_orbits_RW	disrupted
1519	1	0.8	0.5	38.9094	3.8909	0.9	0	0	0	0.5	0.8713	4.6226	4.2208	2.8254	1272978788	89	60.9	1
1520	1	0.8	0.5	21.7815	2.1781	0.9	0	0	0	0.5	1.4871	2.2443	4.3798	3.6952	1204712.2	4	0.3	1
1521	1	0.8	0.5	28.8674	2.8867	0.9	0	0	0	0.5	0.7683	3.8251	4.3194	2.9178	2666614.8	4	1.5	1
1522	1	0.8	0.5	38.8545	3.8855	0.9	0	0	0	0.5	1.549	1.7153	2.5424	1.1076	29263009.9	58	105.8	1
1523	1	0.8	0.5	33.3152	3.3315	0.9	0	0	0	0.5	0.8034	2.8699	0.7006	4.5338	933933.8	13	3.4	1
1524	1	0.8	0.5	36.1009	3.6101	0.9	0	0	0	0.5	1.89	0.2158	0.5658	5.3741	18920984.8	192	85.4	1
1525	1	0.8	0.5	42.5938	4.2594	0.9	0	0	0	0.5	1.1869	4.4522	2.79	3.2695	79146760.1	149	160.9	1
1526	1	0.8	0.5	24.6768	2.4677	0.9	0	0	0	0.5	1.5535	0.9748	0.1732	2.1499	34316.2	1	0.6	1
1527	1	0.8	0.5	34.6244	3.4624	0.9	0	0	0	0.5	2.4802	6.2121	4.5738	0.4186	360013171.9	13551	804.9	0
1528	1	0.8	0.5	22.9177	2.2918	0.9	0	0	0	0.5	0.8633	0.3019	4.8631	5.8968	442406.6	16	0.2	1
1529	1	0.8	0.5	43.3955	4.3395	0.9	0	0	0	0.5	1.5279	1.1034	3.4313	5.1135	444775873.4	836	483.2	1
1530	1	0.8	0.5	29.6315	2.9631	0.9	0	0	0	0.5	1.7331	3.4652	5.9617	4.105	4453975.3	305	4.9	1
1531	1	0.8	0.5	28.6987	2.8699	0.9	0	0	0	0.5	0.9843	4.3596	3.8437	3.6129	2812158	123	1	1
1532	1	0.8	0.5	42.3177	4.2318	0.9	0	0	0	0.5	1.529	3.4976	2.8048	3.1953	119200354.6	287	311.3	1
1533	1	0.8	0.5	40.1167	4.0117	0.9	0	0	0	0.5	2.2132	2.3604	3.2855	3.0768	55834085.1	955	951.5	0
1534	1	0.8	0.5	34.7061	3.4706	0.9	0	0	0	0.5	2.1766	2.7856	5.6459	4.4516	22587166.4	190	132.6	1
1535	1	0.8	0.5	42.3704	4.237	0.9	0	0	0	0.5	2.43	2.0305	0.8055	4.039	117048128.7	1656	9561.3	0
1536	1	0.8	0.5	26.0434	2.6043	0.9	0	0	0	0.5	0.991	4.8005	5.213	1.647	403042.7	26	0.6	1
1537	1	0.8	0.5	21.8504	2.185	0.9	0	0	0	0.5	1.3673	5.0042	1.8505	4.1835	9451547.5	8	0.2	1
1538	1	0.8	0.5	42.7882	4.2788	0.9	0	0	0	0.5	2.6024	0.2095	4.1331	3.5921	85164844	1033	28090	0
1539	1	0.8	0.5	40.0315	4.0032	0.9	0	0	0	0.5	0.7947	2.3595	4.7663	2.8305	84555008.3	264	75.2	1
1540	1	0.8	0.5	42.4634	4.2463	0.9	0	0	0	0.5	1.3307	2.6772	2.9476	0.69	104813845.4	1955	186.4	0
1541	1	0.8	0.5	34.9135	3.4914	0.9	0	0	0	0.5	2.3819	1.2184	3.3728	3.1053	69469298.1	7683	262.5	0
1542	1	0.8	0.5	26.9849	2.6985	0.9	0	0	0	0.5	0.1033	3.8032	4.7422	3.4467	2531530.4	39	0.3	1
1543	1	0.8	0.5	37.9892	3.7989	0.9	0	0	0	0.5	1.3124	3.9921	4.6273	3.8474	128004931	291	30.2	1
1544	1	0.8	0.5	28.4187	2.8419	0.9	0	0	0	0.5	0.8206	4.9967	2.5022	3.1354	312377.8	4	0.7	1
1545	1	0.8	0.5	42.0815	4.2081	0.9	0	0	0	0.5	2.3768	5.7957	3.378	5.0035	238705925.8	3754	4673.3	0
1546	1	0.8	0.5	36.0297	3.603	0.9	0	0	0	0.5	0.396	3.5805	2.2004	5.2403	5046096.1	43	6.5	1
1547	1	0.8	0.5	34.0804	3.408	0.9	0	0	0	0.5	1.6838	5.8222	6.0204	1.5748	3020613.8	22	18.1	1
1548	1	0.8	0.5	42.2552	4.2255	0.9	0	0	0	0.5	0.2566	4.4131	4.8934	2.338	11164641	47	74	1
1549	1	0.8	0.5	23.0368	2.3037	0.9	0	0	0	0.5	1.8608	3.4976	5.3882	1.854	499912.9	35	1.3	1
1550	1	0.8	0.5	25.5381	2.5538	0.9	0	0	0	0.5	1.566	0.3435	0.3235	1.0483	147902.7	3	0.8	1
1551	1	0.8	0.5	39.1328	3.9133	0.9	0	0	0	0.5	2.8144	4.674	1.3783	3.5864	99868673	1261	16292.9	0
1552	1	0.8	0.5	37.8556	3.7856	0.9	0	0	0	0.5	1.6011	1.9458	5.9135	2.1548	27899407.1	229	61.8	1
1553	1	0.8	0.5	43.9242	4.3924	0.9	0	0	0	0.5	1.8543	0.347	2.5665	2.6764	76273914.3	2918	2056.9	0
1554	1	0.8	0.5	42.1737	4.2174	0.9	0	0	0	0.5	2.3033	1.6169	3.5546	2.8713	119533146.7	1121	3694.8	0
1555	1	0.8	0.5	27.5051	2.7505	0.9	0	0	0	0.5	1.7883	1.9257	3.6939	2.0501	1138675.4	4	3.7	1
1556	1	0.8	0.5	34.6804	3.468	0.9	0	0	0	0.5	1.3965	0.4248	1.308	2.6294	20138079.8	2337	10.2	1
1557	1	0.8	0.5	36.7574	3.6757	0.9	0	0	0	0.5	0.1756	3.174	2.3944	3.5856	3769916.8	223	7.1	1
1558	1	0.8	0.5	39.823	3.9823	0.9	0	0	0	0.5	0.8859	5.5082	4.792	0.5541	52417080.6	207	55.4	1
1559	1	0.8	0.5	26.7824	2.6782	0.9	0	0	0	0.5	1.4469	4.2486	4.131	0.279	126038.2	2	1	1
1560	1	0.8	0.5	34.4457	3.4446	0.9	0	0	0	0.5	1.3449	1.2935	6.158	2.7156	14666580.7	277	7.5	1
1561	1	0.8	0.5	22.7314	2.2731	0.9	0	0	0	0.5	1.9253	0.3996	2.6692	0.3291	148645.1	4	1.3	1
1562	1	0.8	0.5	30.2727	3.0273	0.9	0	0	0	0.5	2.6611	0.1546	0.4958	3.2782	14533795.1	2010	244.9	1
1563	1	0.8	0.5	22.9241	2.2924	0.9	0	0	0	0.5	2.0273	2.7167	5.9872	2.4893	10534763.7	24	1.6	1
1564	1	0.8	0.5	34.8463	3.4846	0.9	0	0	0	0.5	2.6516	4.6545	0.7352	0.827	421595632.2	1371	1270.4	1
1565	1	0.8	0.5	21.8582	2.1858	0.9	0	0	0	0.5	2.2552	5.6816	5.7404	2.9436	2674664.5	13	3.4	1
1566	1	0.8	0.5	21.1496	2.115	0.9	0	0	0	0.5	2.2932	1.3039	4.5764	2.2251	1016929.1	35	3.5	1
1567	1	0.8	0.5	39.2967	3.9297	0.9	0	0	0	0.5	0.3323	0.5419	1.8985	2.1487	12819938.2	18	23.2	1
1568	1	0.8	0.5	23.9326	2.3933	0.9	0	0	0	0.5	2.3623	4.3518	1.4309	1.6889	1681269.1	167	10.2	1
1569	1	0.8	0.5	44.0644	4.4064	0.9	0	0	0	0.5	1.5663	3.4939	3.5686	2.5636	106545689.5	2763	796.2	0
1570	1	0.8	0.5	33.0399	3.304	0.9	0	0	0	0.5	0.681	3.0357	6.1812	3.5274	17956500.7	198	2.1	1
1571	1	0.8	0.5	39.4033	3.9403	0.9	0	0	0	0.5	1.6871	3.5098	0.9651	2.303	164141968.4	483	164.9	1
1572	1	0.8	0.5	32.3492	3.2349	0.9	0	0	0	0.5	0.1727	1.0263	4.5954	1.7194	269230.1	14	1.5	1
1573	1	0.8	0.5	24.0265	2.4027	0.9	0	0	0	0.5	1.7659	1.2626	3.0025	3.036	85178.7	2	1	1
1574	1	0.8	0.5	34.6045	3.4604	0.9	0	0	0	0.5	1.3327	0.1764	1.0888	3.0236	6657543.4	13	9.6	1
1575	1	0.8	0.5	41.9178	4.1918	0.9	0	0	0	0.5	0.8747	2.9281	6.2148	3.0939	7223054	47	74.6	1
